"","Model #","LR","BS","Momentum","Optimizer","Other #","Bare soil #","Validation Accuracy","Traininig Accuracy","$M-F1_{picture-BBCH}$","$M-F1_{parcel-BBCH}$","$M-F1_{picture-CROP}$","$M-F1_{parcel-CROP}$"
"66",65,"4.538789066e-03",512,"9.9649e-01","Adam",669,2187,76.1,100,53.3,82.8,55.5,84.1
"67",66,"4.538789066e-03",1024,"0e+00","Gradient Descent",744,1968,70.4,78.5,46.3,76.7,48.8,74.2
"68",67,"4.538789066e-03",1024,"9.9649e-01","Adam",659,2184,76.1,100,53.4,83.4,55.8,84.8
"69",68,"1.528692025e-03",512,"0e+00","Gradient Descent",761,2065,61.2,66.6,39.9,64.6,42.9,63.1
"70",69,"1.528692025e-03",512,"9.6318e-01","Adam",668,2066,78.4,100,53.8,83.7,56,84.6
"71",70,"1.528692025e-03",1024,"0e+00","Gradient Descent",763,2061,61.3,67.3,40.1,65.6,43.1,64.4
"72",71,"1.528692025e-03",1024,"9.6318e-01","Adam",654,2154,77.4,100,53.9,84.3,56.3,85.4
"73",72,"3.274537739e-02",512,"0e+00","Gradient Descent",747,1859,76.3,93,53.2,81.6,55,82.5
"74",73,"3.274537739e-02",512,"9.8167e-01","Adam",638,2162,75.7,100,52.3,82.4,54.7,84.5
"75",74,"3.274537739e-02",1024,"0e+00","Gradient Descent",724,1911,76.7,92.3,53.2,81.8,55.1,83.1
"76",75,"3.274537739e-02",1024,"9.8167e-01","Adam",645,2150,75.7,100,52.4,81.3,54.8,83.1
"77",76,"2.086171461e-02",512,"0e+00","Gradient Descent",743,1990,76.2,91.6,52.1,80.9,53.8,82.3
"78",77,"2.086171461e-02",512,"9.5661e-01","Adam",678,2214,76.6,100,53.3,81.8,55.8,83.5
"79",78,"2.086171461e-02",1024,"0e+00","Gradient Descent",743,1989,75.8,91.5,51.6,80.8,53.4,82.3
"80",79,"2.086171461e-02",1024,"9.5661e-01","Adam",508,2142,76,100,NA,NA,9,NA
"81",80,"2.51026748e-02",512,"0e+00","Gradient Descent",750,2395,75,90,52.5,82.1,54.4,83.5
"82",81,"2.51026748e-02",512,"9.6354e-01","Adam",677,2073,76.1,100,52.9,82.8,55.3,84.5
"83",82,"2.51026748e-02",1024,"0e+00","Gradient Descent",721,2235,75.7,90.3,52.5,81.5,54.3,82.9
"84",83,"2.51026748e-02",1024,"9.6354e-01","Adam",694,2105,76.1,100,52.8,82.4,55.4,84.6
"85",84,"1.156857856e-03",512,"0e+00","Gradient Descent",767,1889,59.2,64.5,37.5,61.8,40.7,61.5
"86",85,"1.156857856e-03",512,"9.8119e-01","Adam",697,2087,77.4,99.4,54.4,83.5,56.9,84.8
"87",86,"1.156857856e-03",1024,"0e+00","Gradient Descent",770,1927,59.8,65.1,37.7,61.6,40.9,60.6
"88",87,"1.156857856e-03",1024,"9.8119e-01","Adam",683,2045,77.1,99.9,54,83,56.1,82.8
"89",88,"1.376385219e-03",512,"0e+00","Gradient Descent",780,1962,60.7,65.8,39.2,63.4,42.3,62.6
"90",89,"1.376385219e-03",512,"9.9267e-01","Adam",683,2088,77.3,99.8,54,82.7,56.2,84.4
"91",90,"1.376385219e-03",1024,"0e+00","Gradient Descent",763,1993,60.5,67,39,64.3,42.1,62.6
"92",91,"1.376385219e-03",1024,"9.9267e-01","Adam",663,2016,77.1,99.9,54,83.2,56.2,84.4
"93",92,"1.033594049e-03",512,"0e+00","Gradient Descent",769,2044,58.9,59.4,37.2,59.6,40.4,59.8
"94",93,"1.033594049e-03",512,"9.9126e-01","Adam",675,2098,77.6,99.8,53.7,82.8,55.9,84.1
"95",94,"1.033594049e-03",1024,"0e+00","Gradient Descent",777,1959,58.9,63.8,37,60.3,40.3,59.4
"96",95,"1.033594049e-03",1024,"9.9126e-01","Adam",677,2141,77.1,99.9,54,83.5,56.3,84.8
"97",96,"2.042960642e-03",512,"0e+00","Gradient Descent",755,2066,64.4,73.8,42,68.8,44.9,67.1
"98",97,"2.042960642e-03",512,"9.8248e-01","Adam",683,2136,77.2,99.8,53.7,82.6,55.7,83.1
"99",98,"2.042960642e-03",1024,"0e+00","Gradient Descent",747,1949,63.7,68.7,42,68.8,44.8,67.5
"100",99,"2.042960642e-03",1024,"9.8248e-01","Adam",673,2025,77.8,100,53.9,82.8,56.3,83.9
"101",100,"3.772767133e-04",512,"0e+00","Gradient Descent",920,2082,49.8,52,30,47.1,34.1,47.4
"102",101,"3.772767133e-04",512,"9.0942e-01","Adam",714,2038,77.6,96.5,54.4,81.9,56.6,83.7
"103",102,"3.772767133e-04",1024,"0e+00","Gradient Descent",909,1988,49.8,51,30,47.7,33.9,48.7
"104",103,"3.772767133e-04",1024,"9.0942e-01","Adam",690,2122,77.2,98,54,83.5,56.2,84.9
"105",104,"4.596740636e-04",512,"0e+00","Gradient Descent",876,1993,51.8,53.5,31.3,50.9,35,50.2
"106",105,"4.596740636e-04",512,"9.361e-01","Adam",693,2119,76.3,97.5,54.2,82.9,56.4,84.4
"107",106,"4.596740636e-04",1024,"0e+00","Gradient Descent",865,1974,51,55.1,31.5,51.4,35.2,50.7
"108",107,"4.596740636e-04",1024,"9.361e-01","Adam",712,2085,77.8,98.7,54.4,84.3,56.6,85.2
"109",108,"7.173316613e-01",512,"0e+00","Gradient Descent",689,2223,77.1,100,53,83,55.7,85.2
"110",109,"7.173316613e-01",512,"9.0355e-01","Adam",456,1862,74.2,97.9,52.7,79.9,55.4,85.1
"111",110,"7.173316613e-01",1024,"0e+00","Gradient Descent",677,2220,75.8,100,53,82.9,55.9,85
"112",111,"7.173316613e-01",1024,"9.0355e-01","Adam",606,2314,76.4,98.1,50.1,80.5,52.5,82.6
"113",112,"6.932821204e-01",512,"0e+00","Gradient Descent",712,2111,76.9,99.8,52.7,82.1,55.4,85.6
"114",113,"6.932821204e-01",512,"9.5464e-01","Adam",715,1959,73.4,96.3,51.6,80.6,53.6,84
"115",114,"6.932821204e-01",1024,"0e+00","Gradient Descent",687,2212,76.4,100,52.7,82.1,55.5,84.9
"116",115,"6.932821204e-01",1024,"9.5464e-01","Adam",620,1932,74.5,98.5,52.1,79.5,54.8,83.3
"117",116,"5.671004606e-04",512,"0e+00","Gradient Descent",837,1846,54.4,58.4,33.1,53.5,36.7,52.4
"118",117,"5.671004606e-04",512,"9.7961e-01","Adam",717,2042,77.2,97.5,54.1,83.2,56.2,84.4
"119",118,"5.671004606e-04",1024,"0e+00","Gradient Descent",829,1995,54,54.7,33,52.6,36.6,51.6
"120",119,"5.671004606e-04",1024,"9.7961e-01","Adam",685,2111,77.9,98.7,54.3,83.3,56.4,85
"121",120,"1.250921336e-04",512,"0e+00","Gradient Descent",1467,2039,41.3,42.4,24,35.7,28,38.7
"122",121,"1.250921336e-04",512,"9.0511e-01","Adam",778,2120,74.6,86.3,51.4,80.7,53.1,80.6
"123",122,"1.250921336e-04",1024,"0e+00","Gradient Descent",1479,2120,41.4,43.4,24.3,37.6,28.4,38.2
"124",123,"1.250921336e-04",1024,"9.0511e-01","Adam",748,2015,76,90.9,52.4,81.2,54.3,82.6
"125",124,"6.579910706e-04",512,"0e+00","Gradient Descent",817,1995,55.1,58.6,34.1,55.4,37.5,55.7
"126",125,"6.579910706e-04",512,"9.1887e-01","Adam",678,2129,78.3,98.8,53.7,82.8,55.7,83.2
"127",126,"6.579910706e-04",1024,"0e+00","Gradient Descent",812,1961,54.9,58.1,34.1,55.5,37.5,54.8
"128",127,"6.579910706e-04",1024,"9.1887e-01","Adam",683,2111,77.4,99,54.4,83.5,56.6,84.4
"129",128,"6.300427233e-02",512,"0e+00","Gradient Descent",715,2447,76.2,95.1,54.1,82.9,56.2,85.5
"130",129,"6.300427233e-02",512,"9.3655e-01","Adam",673,1880,75.7,98,50.5,80.7,53.3,83.6
"131",130,"6.300427233e-02",1024,"0e+00","Gradient Descent",717,2214,76.6,95,53.8,82.5,55.8,84.3
"132",131,"6.300427233e-02",1024,"9.3655e-01","Adam",720,2130,76.7,100,52.6,82.1,54.9,84.5
"133",132,"1.312381199e-01",512,"0e+00","Gradient Descent",755,2314,76.8,98,53.8,80.9,55.6,79.7
"134",133,"1.312381199e-01",512,"9.2443e-01","Adam",682,1609,74.8,98,49.1,79.3,51.5,81
"135",134,"1.312381199e-01",1024,"0e+00","Gradient Descent",699,1865,78.5,99,54,83.6,56.3,85.2
"136",135,"1.312381199e-01",1024,"9.2443e-01","Adam",628,2543,74.2,99.2,52.4,81.4,54.5,82.3
"137",136,"1.235179286e-04",512,"0e+00","Gradient Descent",1451,2244,41.2,42.4,24.1,36.5,28.3,38.4
"138",137,"1.235179286e-04",512,"9.7951e-01","Adam",756,1959,75.3,89.6,51.5,81,53.2,81.1
"139",138,"1.235179286e-04",1024,"0e+00","Gradient Descent",1475,2172,41.7,44.9,24.7,37.3,28.7,39.3
"140",139,"1.235179286e-04",1024,"9.7951e-01","Adam",748,2073,75.5,92.7,52.4,80.7,54.3,83
"141",140,"2.044796062e-02",512,"0e+00","Gradient Descent",771,1830,75.8,91,51.9,81.5,54,83.2
"142",141,"2.044796062e-02",512,"9.3521e-01","Adam",695,2161,77.1,100,53.4,82.9,55.9,84.9
"143",142,"2.044796062e-02",1024,"0e+00","Gradient Descent",762,1903,76.1,90.7,51.8,81.3,53.8,82.3
"144",143,"2.044796062e-02",1024,"9.3521e-01","Adam",689,2068,76.3,100,53.5,83.4,56.1,85.1
"145",144,"1.015242991e-04",512,"0e+00","Gradient Descent",1675,2112,40.2,43.6,23.6,36,27.9,38.4
"146",145,"1.015242991e-04",512,"9.6389e-01","Adam",767,1923,74.8,86.7,50.3,80.9,52.4,79.7
"147",146,"1.015242991e-04",1024,"0e+00","Gradient Descent",1655,2190,40.6,42.7,23.6,35.5,27.7,37
"148",147,"1.015242991e-04",1024,"9.6389e-01","Adam",761,2017,75.5,88.6,51.6,80.3,53.3,81.2
"149",148,"1.153161143e-02",512,"0e+00","Gradient Descent",775,2015,74.7,89.5,49.6,79.6,51.8,79.2
"150",149,"1.153161143e-02",512,"9.4934e-01","Adam",688,2052,77.2,100,53.3,82.2,55.6,83.5
"151",150,"1.153161143e-02",1024,"0e+00","Gradient Descent",745,2011,74,85.8,50,80.5,52.4,81.1
"152",151,"1.153161143e-02",1024,"9.4934e-01","Adam",672,2150,76.6,100,53.5,82.5,55.9,85.1
"153",152,"3.623931667e-02",512,"0e+00","Gradient Descent",715,2159,76.3,92.6,53.7,82.6,55.7,83.7
"154",153,"3.623931667e-02",512,"9.5835e-01","Adam",683,2009,76.2,100,52.8,81.8,55.1,83.2
"155",154,"3.623931667e-02",1024,"0e+00","Gradient Descent",767,1940,76.6,91.9,53.8,82,55.8,84.7
"156",155,"3.623931667e-02",1024,"9.5835e-01","Adam",678,2135,75.3,100,52.7,82.3,55.1,84.6
"157",156,"8.759917176e-01",512,"0e+00","Gradient Descent",691,2408,76,99.6,52.9,82.7,55.5,84.9
"158",157,"8.759917176e-01",512,"9.9393e-01","Adam",822,2829,75.1,96.1,50.1,80.4,52.1,83.7
"159",158,"8.759917176e-01",1024,"0e+00","Gradient Descent",695,2242,76,96.1,53,82.8,55.8,85.5
"160",159,"8.759917176e-01",1024,"9.9393e-01","Adam",673,1989,72.5,99.7,52.5,79.9,54.3,84.5
